Year,January,February,March,April,May,June,July,August,September,October,November,December
1943,1361.4908,1361.2454,1361.3126,1361.2516,1361.4296,1361.3784,1361.2623,1361.393,1361.351,1361.259,1361.2963,1361.291
1944,1361.3379,1361.266,1361.2369,1361.2561,1361.2621,1361.2762,1361.2997,1361.3813,1361.3663,1361.4446,1361.3627,1361.3215
1945,1361.5011,1361.5096,1361.3097,1361.4315,1361.6438,1361.6227,1361.6697,1361.6858,1361.6416,1361.6066,1361.9934,1361.8046
1946,1361.4619,1361.0022,1361.9548,1362.0468,1362.1707,1362.2638,1361.467,1362.0465,1362.1503,1362.3269,1362.2682,1362.0443
1947,1362.0458,1361.7283,1361.4303,1361.4637,1362.0767,1362.9904,1362.5444,1362.2014,1362.7733,1362.4921,1362.4045,1362.1108
1948,1362.4238,1362.2975,1362.1412,1361.8246,1362.2183,1362.5144,1362.6608,1362.454,1362.4044,1362.425,1362.4668,1361.8416
1949,1362.0123,1361.6407,1362.0219,1362.6006,1362.455,1362.2051,1362.1616,1361.9465,1362.1908,1362.2595,1362.125,1362.319
1950,1362.1439,1361.7435,1361.9819,1361.5767,1362.0938,1362.0475,1361.8904,1361.8701,1361.9282,1361.796,1361.6483,1361.7068
1951,1361.6259,1361.8552,1361.7572,1361.513,1361.1422,1361.4565,1362.0287,1361.8485,1361.7087,1361.6986,1361.6842,1361.5325
1952,1361.5629,1361.4733,1361.4598,1361.4447,1361.5026,1361.506,1361.4337,1361.5742,1361.6304,1361.4473,1361.27,1361.351
1953,1361.461,1361.422,1361.331,1361.253,1361.3883,1361.3853,1361.358,1361.3219,1361.3926,1361.3629,1361.2706,1361.225
1954,1361.2688,1361.268,1361.1941,1361.2755,1361.2675,1361.2582,1361.2548,1361.2565,1361.2999,1361.3286,1361.3148,1361.3097
1955,1361.2178,1361.3527,1361.4095,1361.3977,1361.3247,1361.346,1361.498,1361.3887,1361.5599,1361.4622,1361.4468,1361.7933
1956,1361.6981,1361.3638,1361.9045,1362.1929,1361.7933,1361.9967,1361.9254,1361.7776,1362.191,1362.443,1362.0168,1362.3947
1957,1362.8168,1362.7411,1362.4327,1362.4178,1362.2208,1361.9152,1362.4283,1362.5094,1361.9077,1362.3375,1363.0133,1362.4686
1958,1362.8154,1362.5168,1361.8557,1362.2704,1362.5632,1362.5243,1362.0953,1362.4133,1362.3784,1362.6594,1362.6675,1362.1056
1959,1361.8129,1362.6514,1361.9777,1362.3389,1362.1609,1362.096,1362.1787,1361.8456,1362.2888,1362.2427,1361.8425,1361.776
1960,1361.96,1362.1581,1362.0981,1361.8293,1361.8043,1362.118,1361.8435,1361.7975,1362.1191,1361.9889,1361.7393,1361.8734
1961,1361.7827,1361.7361,1361.5942,1361.5234,1361.581,1361.4086,1361.3933,1361.684,1361.4077,1361.6146,1361.5118,1361.4519
1962,1361.3217,1361.306,1361.4727,1361.4404,1361.3961,1361.4811,1361.42,1361.3688,1361.181,1361.3514,1361.3788,1361.38
1963,1361.3417,1361.3456,1361.3553,1361.2782,1361.2596,1361.3296,1361.3809,1361.2981,1361.1469,1361.2758,1361.3938,1361.39
1964,1361.3055,1361.2924,1361.29,1361.3284,1361.2941,1361.2861,1361.2771,1361.275,1361.2942,1361.3096,1361.3038,1361.3055
